Model,mean,sd,ci95_lo,ci95_hi
CharBiGRU,0.983043,0.000589,0.982312,0.983775
CharBiLSTM,0.982914,0.000609,0.982158,0.983671
CharBiRNN,0.982577,0.000348,0.982145,0.98301
CharTransformer,0.982287,0.000312,0.9819,0.982674
WordBiGRU,0.97561,0.0006,0.974866,0.976355
WordBiLSTM,0.976509,0.000745,0.975585,0.977434
WordBiRNN,0.976321,0.000344,0.975895,0.976748
WordTransformer,0.976837,0.000732,0.975928,0.977746
