Model,Seed,epoch,train_loss,train_f1,dev_loss,dev_f1,lr,epoch_s
CharBiRNN,2024,13,0.089267,0.97035,0.156381,0.964484,0.001,2.52
CharBiRNN,2024,14,0.087259,0.970183,0.154757,0.964264,0.001,2.64
CharBiRNN,2024,15,0.080922,0.973066,0.154805,0.966845,0.0005,2.57
CharBiRNN,2024,16,0.081335,0.97484,0.172526,0.962936,0.0005,2.5
CharBiRNN,2024,17,0.077965,0.9757,0.16724,0.964143,0.0005,2.61
CharBiRNN,2024,18,0.073505,0.976447,0.157606,0.964262,0.00025,2.61
CharBiRNN,2024,19,0.07138,0.977435,0.159283,0.964421,0.00025,2.65
CharBiRNN,2024,20,0.070308,0.978295,0.164228,0.9658,0.00025,2.61
CharBiRNN,2024,21,0.068645,0.979281,0.168834,0.96501,0.000125,2.62
CharBiRNN,777,1,0.219712,0.914831,0.264054,0.922087,0.001,2.52
CharBiRNN,777,2,0.170734,0.937841,0.214258,0.941486,0.001,2.58
CharBiRNN,777,3,0.151929,0.94357,0.183566,0.95016,0.001,2.57
CharBiRNN,777,4,0.132133,0.953977,0.183207,0.953543,0.001,2.59
CharBiRNN,777,5,0.126533,0.954701,0.172637,0.955242,0.001,2.52
CharBiRNN,777,6,0.118932,0.958539,0.167022,0.958072,0.001,2.57
CharBiRNN,777,7,0.114672,0.959219,0.161248,0.960403,0.001,2.59
CharBiRNN,777,8,0.11027,0.963942,0.174861,0.958783,0.001,2.52
CharBiRNN,777,9,0.112587,0.958371,0.158578,0.957582,0.001,2.61
CharBiRNN,777,10,0.100751,0.96618,0.16755,0.960467,0.001,2.67
CharBiRNN,777,11,0.098857,0.967914,0.178588,0.958094,0.001,2.7
CharBiRNN,777,12,0.097875,0.968807,0.178725,0.959569,0.001,2.51
CharBiRNN,777,13,0.087771,0.970485,0.161087,0.962476,0.0005,2.57
CharBiRNN,777,14,0.085316,0.971864,0.163885,0.961499,0.0005,2.61
CharBiRNN,777,15,0.089485,0.967999,0.15784,0.961364,0.0005,2.51
CharBiRNN,777,16,0.084997,0.973387,0.189356,0.959222,0.0005,2.63
CharBiRNN,777,17,0.081133,0.974834,0.180726,0.959111,0.0005,2.57
CharBiRNN,777,18,0.076556,0.976303,0.167522,0.960568,0.0005,2.57
CharBiRNN,777,19,0.074342,0.976346,0.162735,0.961398,0.00025,2.59
CharBiLSTM,42,1,0.199649,0.923801,0.235328,0.935024,0.001,2.94
CharBiLSTM,42,2,0.155165,0.946254,0.203415,0.950346,0.001,2.77
CharBiLSTM,42,3,0.130693,0.953719,0.173907,0.958102,0.001,3.07
CharBiLSTM,42,4,0.123794,0.958919,0.181225,0.958153,0.001,3.02
CharBiLSTM,42,5,0.112759,0.960297,0.15674,0.963618,0.001,3.0
CharBiLSTM,42,6,0.104366,0.965545,0.16365,0.963583,0.001,2.86
CharBiLSTM,42,7,0.10238,0.967755,0.182494,0.960408,0.001,3.01
CharBiLSTM,42,8,0.091763,0.968782,0.1482,0.967227,0.001,2.89
CharBiLSTM,42,9,0.088323,0.971679,0.158037,0.966029,0.001,2.82
CharBiLSTM,42,10,0.081341,0.973584,0.15358,0.966962,0.001,2.89
CharBiLSTM,42,11,0.083518,0.974426,0.178459,0.962385,0.001,2.87
CharBiLSTM,42,12,0.072285,0.977058,0.152804,0.967293,0.0005,2.94
CharBiLSTM,42,13,0.070227,0.976786,0.153036,0.96602,0.0005,3.06
CharBiLSTM,42,14,0.065699,0.980294,0.176401,0.964965,0.0005,2.97
