Model,Params,n_seeds,Accuracy_mean,Accuracy_std,Accuracy_ci95_lo,Accuracy_ci95_hi,Accuracy_min,Accuracy_max,Precision_mean,Precision_std,Precision_ci95_lo,Precision_ci95_hi,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_ci95_lo,Recall_ci95_hi,Recall_min,Recall_max,F1_mean,F1_std,F1_ci95_lo,F1_ci95_hi,F1_min,F1_max,Ext_Accuracy_mean,Ext_Accuracy_std,Ext_Accuracy_ci95_lo,Ext_Accuracy_ci95_hi,Ext_Accuracy_min,Ext_Accuracy_max,Ext_F1_mean,Ext_F1_std,Ext_F1_ci95_lo,Ext_F1_ci95_hi,Ext_F1_min,Ext_F1_max
CharBiGRU,86065,5,0.959091,0.001212,0.957586,0.960595,0.957734,0.960623,0.969791,0.002612,0.966548,0.973034,0.966754,0.973343,0.949104,0.002791,0.945639,0.952569,0.945893,0.952069,0.959331,0.001214,0.957825,0.960838,0.958008,0.960913,0.950816,0.001378,0.949105,0.952528,0.94898,0.952551,0.944899,0.001662,0.942836,0.946962,0.942661,0.946827
CharBiLSTM,114097,5,0.958651,0.00066,0.957832,0.95947,0.95786,0.959304,0.968825,0.004958,0.96267,0.97498,0.962396,0.973711,0.949253,0.005129,0.942885,0.95562,0.942557,0.954787,0.958918,0.000682,0.958072,0.959764,0.957881,0.959525,0.953367,0.002299,0.950514,0.956221,0.951531,0.957143,0.947588,0.002503,0.944481,0.950696,0.945182,0.951669
CharBiRNN,30001,5,0.957119,0.000996,0.955882,0.958356,0.95629,0.958739,0.967712,0.00329,0.963627,0.971797,0.962417,0.970495,0.947276,0.003912,0.94242,0.952132,0.942681,0.952193,0.957375,0.001039,0.956085,0.958665,0.956386,0.958981,0.946122,0.004139,0.940984,0.95126,0.942347,0.952551,0.93955,0.004799,0.933593,0.945508,0.935392,0.946827
CharTransformer,605953,5,0.954971,0.001855,0.952667,0.957274,0.951768,0.956415,0.963258,0.002212,0.960513,0.966004,0.959834,0.964857,0.947572,0.00209,0.944977,0.950167,0.944657,0.949722,0.95535,0.001837,0.95307,0.95763,0.952185,0.956787,0.953061,0.001487,0.951215,0.954908,0.951531,0.955102,0.947415,0.00173,0.945267,0.949562,0.945807,0.949657
WordTransformer,6126721,5,0.935364,0.001573,0.933411,0.937317,0.933304,0.9377,0.936069,0.005773,0.928902,0.943237,0.926604,0.940797,0.936899,0.004554,0.931245,0.942553,0.930698,0.943545,0.936462,0.00135,0.934786,0.938139,0.934998,0.938583,0.856123,0.002009,0.853629,0.858616,0.854592,0.859184,0.855355,0.001953,0.85293,0.857779,0.85347,0.858462
WordBiLSTM,2544289,5,0.933291,0.001075,0.931956,0.934627,0.932048,0.934937,0.934919,0.000609,0.934163,0.935674,0.934141,0.935644,0.933786,0.002336,0.930886,0.936686,0.930327,0.936875,0.934351,0.001136,0.93294,0.935761,0.932978,0.936065,0.854286,0.001677,0.852204,0.856368,0.852041,0.856633,0.852934,0.001801,0.850698,0.855169,0.850515,0.855527
WordBiGRU,2507041,5,0.932412,0.001104,0.931041,0.933783,0.93142,0.934058,0.934484,0.001318,0.932848,0.936119,0.932551,0.935756,0.932428,0.001707,0.930308,0.934547,0.930945,0.935269,0.933453,0.001103,0.932084,0.934823,0.932525,0.935153,0.853878,0.002153,0.851205,0.85655,0.851531,0.856633,0.852521,0.002326,0.849633,0.855409,0.849612,0.855378
WordBiRNN,2432545,5,0.931583,0.002846,0.92805,0.935117,0.927652,0.933995,0.937425,0.005329,0.930809,0.94404,0.931403,0.943756,0.927412,0.011775,0.912794,0.94203,0.912044,0.937616,0.932328,0.003428,0.928073,0.936584,0.927629,0.935135,0.85449,0.002457,0.851439,0.85754,0.852551,0.858673,0.85323,0.002564,0.850047,0.856413,0.8508,0.857437
