Model,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95_lo,accuracy_ci95_hi,precision_mean,precision_std,precision_ci95_lo,precision_ci95_hi,recall_mean,recall_std,recall_ci95_lo,recall_ci95_hi,f1_mean,f1_std,f1_ci95_lo,f1_ci95_hi,f1_min,f1_max
TF-IDF+SVM,5,0.9628,0.0,0.9628,0.9628,0.9777,0.0,0.9777,0.9777,0.9484,0.0,0.9484,0.9484,0.9628,0.0,0.9628,0.9628,0.9628,0.9628
TF-IDF+LR,5,0.9601,0.0,0.9601,0.9601,0.9755,0.0,0.9755,0.9755,0.9453,0.0,0.9453,0.9453,0.9602,0.0,0.9602,0.9602,0.9602,0.9602
TF-IDF+RF,5,0.9211,0.0021,0.9185,0.9237,0.9545,0.0012,0.9531,0.956,0.8871,0.0053,0.8806,0.8936,0.9196,0.0024,0.9166,0.9225,0.9172,0.9232
