row_id,n_tokens,suffix3,FREQ,FREQ_split,records_removed,LAST_YEAR,LAST_YEAR_split
656,2,yah,2,1,1,2025,2003
657,2,ama,6,5,1,2025,2018
658,4,sty,2,1,1,2024,2021
659,3,tom,2,1,1,2024,2021
660,1,dho,2,1,1,2024,2013
661,2,bar,2,1,1,2025,2010
662,2,han,3,2,1,2024,2022
663,2,lia,2,1,1,2024,2023
664,2,zan,2,1,1,2025,2014
665,2,oho,2,1,1,2024,2013
666,2,lia,3,2,1,2025,2023
667,2,ati,2,1,1,2024,2021
668,2,ian,3,2,1,2025,2005
669,1,ani,2,1,1,2024,2019
670,2,uti,2,1,1,2025,2000
671,2,wan,2,1,1,2024,2022
672,2,tra,3,2,1,2024,2018
673,3,sty,2,1,1,2025,2022
674,1,ati,8,7,1,2024,2019
675,1,nto,10,9,1,2025,2015
676,3,wan,2,1,1,2025,2014
677,2,ana,8,7,1,2024,2020
678,2,tya,6,5,1,2024,2018
679,3,lah,2,1,1,2024,2020
680,2,wan,5,4,1,2025,2020
681,3,ama,5,3,2,2025,2019
682,2,han,19,17,2,2025,2023
683,2,ani,3,2,1,2025,2014
684,2,tra,2,1,1,2025,2014
685,3,aha,2,1,1,2024,2009
686,2,han,4,3,1,2024,2016
687,2,han,2,1,1,2025,2014
688,1,ana,7,6,1,2024,2015
689,1,dah,4,3,1,2024,2017
690,1,ati,7,6,1,2024,2017
691,1,ati,2,1,1,2025,2014
692,2,ana,5,4,1,2025,2018
693,2,han,3,2,1,2024,2018
694,2,ili,2,1,1,2025,2022
695,2,ana,2,1,1,2025,2022
696,2,lia,2,1,1,2025,2020
697,2,ila,2,1,1,2024,2012
698,2,han,2,1,1,2024,2001
699,3,via,2,1,1,2024,2021
700,2,lah,2,1,1,2025,2019
701,2,lla,2,1,1,2025,2018
702,2,ila,2,1,1,2025,2020
703,2,ila,3,2,1,2024,2023
704,3,ila,2,1,1,2025,2023
705,2,ila,2,1,1,2024,2022
706,1,ila,10,9,1,2025,2023
707,2,nia,2,1,1,2025,2022
708,1,lah,4,2,2,2024,2022
709,2,ila,5,4,1,2024,2023
710,1,nti,11,10,1,2025,2021
711,1,rah,6,5,1,2025,2023
712,2,fah,2,1,1,2025,2017
713,3,tri,2,1,1,2024,2016
714,1,rio,4,3,1,2024,2023
715,2,ani,2,1,1,2024,2023
716,1,ati,2,1,1,2024,2008
717,3,nto,2,1,1,2024,2018
718,1,ani,3,2,1,2024,2006
719,2,hra,2,1,1,2025,2021
720,2,ila,3,2,1,2024,2023
721,3,ewi,2,1,1,2024,2021
722,2,rum,2,1,1,2025,2022
723,2,lia,2,1,1,2025,2014
724,1,tya,3,2,1,2024,2018
725,2,ila,2,1,1,2024,2019
726,2,lia,2,1,1,2024,2017
727,3,ani,2,1,1,2024,2021
728,3,tri,2,1,1,2025,2022
729,2,nah,13,11,2,2025,2023
730,2,isa,2,1,1,2025,2010
731,2,jah,4,3,1,2024,2017
732,2,nah,4,3,1,2025,2023
733,2,awa,2,1,1,2024,2001
734,3,tri,2,1,1,2025,2022
735,2,nah,2,1,1,2025,2001
736,3,yah,2,1,1,2024,2017
737,3,zah,5,4,1,2024,2021
738,3,iza,2,1,1,2024,2022
739,2,eha,2,1,1,2025,2007
740,2,hma,2,1,1,2025,2020
741,2,ati,9,8,1,2024,2021
742,2,ati,2,1,1,2025,2019
743,2,lfa,2,1,1,2024,2007
744,3,ari,2,1,1,2024,2014
745,2,ani,15,14,1,2024,2017
746,2,ari,14,13,1,2025,2014
747,2,iwi,3,2,1,2024,2009
748,2,nti,3,2,1,2024,2012
749,2,ani,3,2,1,2025,2012
750,2,oso,4,3,1,2025,2008
751,1,ini,8,7,1,2025,2021
752,2,ani,2,1,1,2025,2021
753,1,ani,3,2,1,2024,2002
754,2,wan,2,1,1,2024,2015
755,3,ati,2,1,1,2024,2021
756,1,rul,5,4,1,2024,2006
757,2,war,13,12,1,2024,2015
758,2,man,3,2,1,2025,2022
759,2,loh,5,4,1,2025,2021
760,1,din,2,1,1,2025,1999
761,2,hra,4,2,2,2025,2023
762,3,lah,2,1,1,2025,2022
763,2,ita,2,1,1,2024,2021
764,3,nti,2,1,1,2025,2021
765,1,fik,7,6,1,2025,2017
766,2,yat,42,41,1,2024,2021
767,2,man,2,1,1,2025,1996
768,2,yat,5,4,1,2024,2012
769,3,nia,2,1,1,2024,2020
770,1,ara,6,4,2,2025,2023
771,2,ani,3,2,1,2024,2021
772,3,ari,3,2,1,2025,2022
773,4,idu,2,1,1,2024,2021
774,2,ami,8,7,1,2024,2021
775,2,ari,13,12,1,2024,2022
776,1,mar,9,8,1,2025,2022
777,3,ora,2,1,1,2025,2018
778,2,nah,15,14,1,2024,2021
779,2,nah,8,6,2,2025,2021
780,3,tri,2,1,1,2024,2021
781,2,ana,2,1,1,2025,2019
782,3,ine,2,1,1,2024,2019
783,2,aty,2,1,1,2025,2022
784,2,ika,3,2,1,2025,2009
785,2,yat,23,22,1,2024,2022
786,4,ama,2,1,1,2025,2022
787,2,tro,3,2,1,2025,2019
788,3,ima,2,1,1,2024,2021
789,2,lah,2,1,1,2024,2020
790,1,dia,2,1,1,2024,2020
791,1,sih,2,1,1,2024,2021
792,1,nti,5,4,1,2024,2005
793,2,uni,2,1,1,2024,2021
794,2,ati,2,1,1,2025,2022
795,2,ash,2,1,1,2024,2017
796,1,nta,2,1,1,2025,2022
797,3,ail,2,1,1,2024,2020
798,3,rba,2,1,1,2024,2021
799,1,oga,2,1,1,2024,2009
800,3,tra,2,1,1,2025,2022
801,2,ama,12,11,1,2025,2021
802,2,ama,2,1,1,2024,2005
803,1,han,2,1,1,2025,2017
804,1,ira,16,15,1,2024,2017
805,2,ati,2,1,1,2024,1999
806,2,ari,11,10,1,2024,2019
807,2,lia,2,1,1,2024,2023
808,2,isa,3,2,1,2025,2023
809,2,ila,4,2,2,2025,2020
810,3,tri,2,1,1,2025,2022
811,2,din,19,18,1,2024,2018
812,3,tta,2,1,1,2024,2021
813,1,rah,2,1,1,2025,2021
