ending,n_training,pct_female,points_to
ti,9750,93.1,female
wi,1557,89.7,female
ni,9687,82.3,female
ri,9692,80.1,female
mi,1254,61.7,female
si,321,35.2,male
hi,442,26.7,male
li,724,23.8,male
ki,559,22.7,male
fi,439,13.7,male
di,5434,8.1,male
ji,557,6.5,male
zi,594,3.7,male
