level,acc_with_marker,acc_without_marker,diff_pp,ci95_lo_pp,ci95_hi_pp,p_raw
character,96.7,94.84,1.86,1.79,1.92,1.8138798842983422e-07
word,95.14,91.57,3.57,3.46,3.67,7.060140320944048e-08
