model,level,mean_entropy,std_entropy
CharBiLSTM,char,2.9559201755157796,0.493870240946755
CharBiGRU,char,2.5718869691516764,0.15752148479652583
CharBiRNN,char,1.6266193580133872,0.4333641119013327
CharTransformer,char,3.523209564785008,0.0077251211832116695
WordBiLSTM,word,0.5380919125759442,0.44404391001172416
WordBiGRU,word,0.5978987229603288,0.39163719965423344
WordBiRNN,word,0.7021327911904155,0.2829329994771269
WordTransformer,word,0.977904783543776,0.021915723721593894
