row_id,suffix3,label,n_tokens,ends_listed_suffix,all_tokens_unseen
243,fif,1,4,False,False
244,tra,1,4,False,False
245,lih,1,4,False,False
246,ann,1,4,False,False
247,sya,1,4,False,False
248,ana,1,4,False,False
249,han,1,4,False,False
250,tra,1,4,False,False
251,ofi,1,4,False,False
252,man,1,4,True,False
253,iva,1,4,False,False
254,riq,1,4,False,False
255,sar,1,4,False,False
256,rah,1,4,True,False
257,dji,1,4,False,False
258,ola,1,4,False,False
259,pak,1,4,False,False
260,soe,1,5,False,False
261,isa,0,5,False,False
