row_id,suffix3,label,n_wrong_of_20,n_models_ever_wrong,n_chars,n_tokens,wrong_CharBiRNN,wrong_CharBiGRU,wrong_CharBiLSTM,wrong_CharTransformer,ends_listed_suffix,unseen_tokens,all_tokens_unseen
107,rsy,0,0,0,11,2,0,0,0,0,False,0,False
108,ani,1,20,4,21,3,5,5,5,5,True,0,False
109,lah,0,0,0,19,3,0,0,0,0,True,0,False
110,yad,0,0,0,30,4,0,0,0,0,False,2,False
111,dat,0,0,0,13,2,0,0,0,0,False,1,False
112,dly,0,0,0,23,4,0,0,0,0,False,0,False
113,ana,0,0,0,21,3,0,0,0,0,False,0,False
114,dhi,0,0,0,30,4,0,0,0,0,False,2,False
115,aqi,0,0,0,20,3,0,0,0,0,False,0,False
116,han,1,20,4,22,3,5,5,5,5,False,0,False
117,ara,0,0,0,20,3,0,0,0,0,False,0,False
118,wal,0,0,0,25,4,0,0,0,0,False,0,False
119,ara,0,0,0,19,3,0,0,0,0,False,0,False
120,wan,0,0,0,21,3,0,0,0,0,True,0,False
121,dar,0,0,0,13,2,0,0,0,0,False,0,False
122,hir,0,0,0,20,3,0,0,0,0,False,0,False
123,ika,0,0,0,20,3,0,0,0,0,True,0,False
124,nif,0,0,0,20,3,0,0,0,0,False,0,False
125,han,0,0,0,24,3,0,0,0,0,False,1,False
126,fiq,0,0,0,16,3,0,0,0,0,False,0,False
127,sya,0,0,0,12,2,0,0,0,0,False,0,False
128,fif,0,0,0,18,3,0,0,0,0,False,0,False
129,wan,0,0,0,24,3,0,0,0,0,True,0,False
130,yah,0,0,0,22,3,0,0,0,0,True,0,False
131,ndy,0,0,0,12,2,0,0,0,0,False,0,False
132,nto,0,0,0,23,4,0,0,0,0,True,0,False
133,nto,0,0,0,22,3,0,0,0,0,True,0,False
134,ran,0,0,0,19,3,0,0,0,0,False,1,False
135,ana,0,0,0,21,3,0,0,0,0,False,0,False
136,ath,0,0,0,21,4,0,0,0,0,False,0,False
137,lbu,0,0,0,20,3,0,0,0,0,False,2,False
138,afi,0,0,0,20,3,0,0,0,0,False,1,False
139,aik,0,0,0,20,3,0,0,0,0,False,1,False
140,iqy,0,0,0,23,3,0,0,0,0,False,1,False
141,han,0,0,0,13,2,0,0,0,0,False,1,False
142,man,0,0,0,26,3,0,0,0,0,True,0,False
143,ono,0,0,0,21,3,0,0,0,0,True,0,False
144,rah,0,0,0,12,2,0,0,0,0,True,0,False
145,tra,0,0,0,17,3,0,0,0,0,False,1,False
146,ara,0,0,0,26,4,0,0,0,0,False,0,False
147,tra,0,0,0,21,3,0,0,0,0,False,0,False
148,azy,0,0,0,18,3,0,0,0,0,False,2,False
149,man,0,0,0,16,2,0,0,0,0,True,0,False
150,ana,0,0,0,18,3,0,0,0,0,False,0,False
151,ali,0,0,0,15,3,0,0,0,0,False,0,False
152,dzy,0,0,0,18,3,0,0,0,0,False,1,False
153,ama,0,0,0,16,3,0,0,0,0,False,0,False
154,lah,0,0,0,16,2,0,0,0,0,True,0,False
155,tyo,0,0,0,22,3,0,0,0,0,False,1,False
156,nta,0,0,0,17,3,0,0,0,0,False,0,False
157,tra,0,0,0,24,4,0,0,0,0,False,0,False
158,hin,0,0,0,12,2,0,0,0,0,False,0,False
159,stu,0,0,0,17,3,0,0,0,0,False,0,False
160,idz,0,0,0,19,4,0,0,0,0,False,0,False
161,izi,0,0,0,18,3,0,0,0,0,False,0,False
162,han,0,0,0,23,3,0,0,0,0,False,0,False
163,tra,0,0,0,21,3,0,0,0,0,False,0,False
164,isa,1,0,0,20,3,0,0,0,0,False,1,False
165,ani,0,0,0,26,3,0,0,0,0,True,2,False
166,dik,0,0,0,18,3,0,0,0,0,False,1,False
167,ati,1,0,0,27,5,0,0,0,0,True,1,False
168,ama,0,0,0,18,3,0,0,0,0,False,0,False
169,man,0,0,0,12,2,0,0,0,0,True,0,False
170,ima,1,0,0,16,3,0,0,0,0,False,0,False
171,isa,1,0,0,15,3,0,0,0,0,False,0,False
172,tra,0,0,0,17,3,0,0,0,0,False,0,False
173,sah,1,0,0,11,2,0,0,0,0,True,1,False
174,wan,0,0,0,17,3,0,0,0,0,True,0,False
175,ika,0,0,0,18,3,0,0,0,0,True,0,False
