Strategy,Model,Seed,Accuracy,Precision,Recall,F1,Best_epoch,Train_s,F1_weighted,diff_pp
oversampling,CharTransformer,7,0.955536,0.959105,0.953181,0.956134,22,532.4,0.955922,0.021199999999998997
oversampling,CharTransformer,123,0.955034,0.962517,0.948487,0.95545,19,458.7,0.95547,-0.002000000000002
oversampling,CharTransformer,2024,0.954217,0.96026,0.949228,0.954712,22,514.5,0.956386,-0.16739999999999533
oversampling,CharTransformer,777,0.954657,0.964119,0.946016,0.954982,24,548.0,0.952185,0.27970000000000494
oversampling,WordBiRNN,42,0.932362,0.937531,0.928845,0.933168,12,65.9,0.929711,0.34570000000000434
oversampling,WordBiRNN,7,0.931294,0.936308,0.92798,0.932126,10,57.2,0.927629,0.4496999999999973
oversampling,WordBiRNN,123,0.929913,0.932458,0.929463,0.930958,9,53.6,0.935135,-0.41770000000000973
oversampling,WordBiRNN,2024,0.931483,0.935681,0.929092,0.932375,13,67.9,0.934499,-0.21240000000000148
oversampling,WordBiRNN,777,0.929976,0.945153,0.91538,0.930028,10,57.3,0.934668,-0.46400000000000885
oversampling,WordBiLSTM,42,0.932174,0.938931,0.926868,0.932861,8,51.3,0.934025,-0.11639999999999429
oversampling,WordBiLSTM,7,0.931546,0.936014,0.928845,0.932416,5,40.2,0.932978,-0.05619999999999514
oversampling,WordBiLSTM,123,0.933116,0.938061,0.929833,0.933929,11,62.3,0.936065,-0.21360000000000268
oversampling,WordBiLSTM,2024,0.93186,0.937469,0.927857,0.932638,11,62.3,0.934001,-0.1363000000000003
oversampling,WordBiLSTM,777,0.932362,0.940166,0.92588,0.932968,5,40.5,0.934685,-0.17169999999999686
oversampling,WordBiGRU,42,0.930164,0.944834,0.916121,0.930256,9,54.3,0.935153,-0.489700000000004
oversampling,WordBiGRU,7,0.931608,0.93151,0.934157,0.932832,6,43.6,0.933135,-0.030300000000005323
oversampling,WordBiGRU,123,0.932864,0.935532,0.93218,0.933853,6,43.5,0.933903,-0.004999999999999449
oversampling,WordBiGRU,2024,0.930666,0.935034,0.928104,0.931556,9,54.6,0.932551,-0.09949999999999681
oversampling,WordBiGRU,777,0.932739,0.940431,0.926374,0.93335,10,60.8,0.932525,0.08249999999999647
oversampling,WordTransformer,42,0.937449,0.939893,0.936875,0.938382,10,114.8,0.938583,-0.02009999999998957
oversampling,WordTransformer,7,0.93456,0.940427,0.930204,0.935288,8,97.5,0.936462,-0.11740000000000084
oversampling,WordTransformer,123,0.933681,0.936175,0.933169,0.93467,15,145.7,0.934998,-0.032799999999999496
oversampling,WordTransformer,2024,0.932927,0.936405,0.931316,0.933854,16,150.3,0.935668,-0.18140000000000933
oversampling,WordTransformer,777,0.933932,0.942011,0.927116,0.934504,12,126.8,0.936601,-0.20970000000000155
