window,ani,ari,ati,nti,tri,ana,ina,lia,ini,ita,sih,yah,isa,ila,iah
1990,7.387862796833773,5.013192612137203,9.762532981530343,7.387862796833773,0.0,3.16622691292876,2.1108179419525066,1.0554089709762533,2.3746701846965697,1.8469656992084433,3.6939313984168867,1.3192612137203166,0.0,0.2638522427440633,2.3746701846965697
1995,7.8005115089514065,7.384910485933503,10.933503836317135,8.024296675191815,1.5345268542199488,3.0051150895140664,2.5255754475703327,1.3107416879795397,3.484654731457801,1.9181585677749362,3.2289002557544757,1.0869565217391304,0.41560102301790286,0.1918158567774936,1.4705882352941175
2000,8.28600066822586,8.787170063481458,10.182091546942866,7.4674239893083865,1.8376211159371867,3.4246575342465753,2.597728032074841,1.6037420648179084,2.75643167390578,2.5726695623120617,3.2910123621784164,0.9271633812228534,0.4259939859672569,0.2171734046107584,1.0106916137654527
2005,8.62488928255093,8.802037201062888,7.362710363153233,6.465899025686449,2.823294951284322,3.1111603188662533,2.6904340124003543,1.5721877767936228,2.712577502214349,2.8011514614703277,2.192205491585474,0.8968113374667847,0.907883082373782,0.23250664304694418,1.1293179805137288
2010,8.79114706212785,7.971014492753622,5.426356589147287,5.167958656330749,4.196157735085945,2.943489495562296,2.3592854735422986,1.988540613414223,2.3761375126390294,2.162678350747107,1.544770250533648,1.3425457813728794,1.1571733513088416,0.6403774856757668,0.971800921244804
2015,7.925716084356312,5.52093169656909,3.7708530059804843,4.350015738117722,5.3383695310040915,2.694365753855839,2.1403840100723954,2.5936418004406674,1.8445073969153287,1.932640856153604,0.9505823103556814,1.3534781240163676,1.5738117721120555,1.5423355366698142,0.9694680516210261
2020,8.222319816522715,3.9525691699604746,2.5130532376909187,3.157175620943737,6.846240179573512,2.2983457766066464,1.8396525642902455,2.7472795588737617,1.6493436783291855,1.60054652808276,0.6392426682281755,1.7762162689698922,1.7469379788220367,2.234909481286293,0.8197921241399502
2025,8.826724606192286,2.906029331884845,1.7381857686040194,2.906029331884845,6.762629005975014,2.1184139054861486,1.6838674633351438,2.906029331884845,1.4665942422596416,1.3307984790874523,0.48886474741988045,1.9282998370450843,1.8739815317762087,2.390005431830527,0.6246605105920695
