Year,Model,N,Accuracy,Precision,Recall,F1
2024,CharBiGRU,8540,0.9517564402810305,0.9746144721233689,0.9308860185814638,0.9522484932777006
2024,CharBiLSTM,8540,0.956440281030445,0.9713086074177747,0.9435757987763427,0.9572413793103448
2024,CharBiRNN,8540,0.9543325526932084,0.9749704840613932,0.9356446861545434,0.9549028677150786
2024,CharTransformer,8540,0.9533957845433255,0.9687135185617558,0.9401767505098573,0.954231830726771
2024,WordTransformer,8540,0.9333723653395785,0.940219880897847,0.9302062089281667,0.9351862398906481
2024,WordBiLSTM,8540,0.9326697892271663,0.9411494252873563,0.9277135735327442,0.9343832020997376
2024,WordBiGRU,8540,0.9248243559718969,0.9475433183004984,0.9046000453206435,0.9255738465105495
2024,WordBiRNN,8540,0.9288056206088993,0.9390722363258712,0.9220484930886018,0.9304825062885891
2025,CharBiGRU,7383,0.9657320872274143,0.9755894590846047,0.9551873981531777,0.9652806367503773
2025,CharBiLSTM,7383,0.9646485168630637,0.9679890560875513,0.9608908202064096,0.9644268774703557
2025,CharBiRNN,7383,0.9634295002031694,0.9741523068371317,0.9519282998370451,0.9629120879120879
2025,CharTransformer,7383,0.962345929838819,0.9642662302236771,0.9600760456273765,0.962166575939031
2025,WordTransformer,7383,0.9360693485033185,0.9302949061662198,0.9424225964149918,0.9363194819212088
2025,WordBiLSTM,7383,0.9363402410944061,0.9331175836030206,0.9397066811515481,0.9364005412719891
2025,WordBiGRU,7383,0.9329540837058107,0.941046221976197,0.9234111895708854,0.932145305003427
2025,WordBiRNN,7383,0.932683191114723,0.9302891110510673,0.9350896252036937,0.932683191114723
