seed,armA_test_f1,armA_best_epoch,armB_test_f1,armB_best_epoch,armC_test_f1,armC_best_epoch,data_effect_pp,selection_effect_pp,total_pp
42,0.9627546556680415,11,0.9609126613054049,8,0.9609126613054049,8,0.18419943626366564,0.0,0.18419943626366564
7,0.9618092330695907,11,0.9608293500527655,9,0.9601506118606841,13,0.09798830168251671,0.06787381920814184,0.16586212089065855
123,0.9625814458578964,7,0.9596844872918493,10,0.9588061947457521,8,0.2896958566047103,0.08782925460971702,0.37752511121442733
2024,0.9621675614933201,12,0.9599449242708724,14,0.9583229036295369,8,0.22226372224476432,0.1622020641335542,0.3844657863783185
777,0.9615073689447173,9,0.9594082178156276,13,0.959292916718536,11,0.20991511290897602,0.01153010970915691,0.22144522261813293
