comparison,char_f1,word_f1,diff_pp,ci95_lo_pp,ci95_hi_pp,cohens_dz,p_raw,p_holm
BiRNN,0.9297,0.8365,9.319,8.66,9.978,17.56,2.513709768599644e-06,2.513709768599644e-06
BiLSTM,0.9375,0.8347,10.274,9.894,10.655,33.51,1.9003635513842695e-07,7.476031958644962e-07
BiGRU,0.9345,0.8357,9.881,9.509,10.253,32.97,2.0289805361688798e-07,7.476031958644962e-07
Transformer,0.9368,0.838,9.885,9.52,10.249,33.65,1.8690079896612405e-07,7.476031958644962e-07
