Model,internal_f1,external_f1,external_acc,external_f1_std,delta_pp
TF-IDF+LR,0.9602,0.944,0.9505,0.0,-1.62
TF-IDF+RF,0.9196,0.9157,0.9271,0.0026,-0.39
TF-IDF+SVM,0.9628,0.946,0.952,0.0,-1.68
