Model,Params,n_seeds,val_accuracy_mean,val_accuracy_std,val_accuracy_ci95_lo,val_accuracy_ci95_hi,val_precision_mean,val_precision_std,val_precision_ci95_lo,val_precision_ci95_hi,val_recall_mean,val_recall_std,val_recall_ci95_lo,val_recall_ci95_hi,val_f1_mean,val_f1_std,val_f1_ci95_lo,val_f1_ci95_hi,ext_f1_mean,ext_f1_std,ext_f1_ci95_lo,ext_f1_ci95_hi,val_f1_min,val_f1_max
IndoBERT,124442882,5,0.9576,0.0005,0.957,0.9583,0.9694,0.0039,0.9646,0.9742,0.9466,0.0042,0.9414,0.9518,0.9578,0.0006,0.9571,0.9585,0.9339,0.0027,0.9305,0.9373,0.9572,0.9586
mBERT,177854978,5,0.9607,0.001,0.9594,0.9619,0.9737,0.0061,0.9662,0.9812,0.9483,0.0081,0.9382,0.9584,0.9608,0.0013,0.9592,0.9624,0.9353,0.0057,0.9282,0.9423,0.9588,0.9621
XLM-R,278045186,5,0.9615,0.0011,0.9602,0.9628,0.973,0.0033,0.969,0.9771,0.9506,0.0051,0.9443,0.9569,0.9617,0.0012,0.9602,0.9631,0.9368,0.0033,0.9328,0.9409,0.9604,0.963
